,Symbol,Name,52 Week High,52 Week Low
251,IPG,Interpublic Group,18.3,25.71
252,IFF,Intl Flavors & Fragrances,116.3,157.4
253,INTU,Intuit Inc.,111.9,170.59
254,ISRG,Intuitive Surgical Inc.,233.10643,452.0
255,IVZ,Invesco Ltd.,29.36,38.43
256,IQV,IQVIA Holdings Inc.,75.94,110.67
257,IRM,Iron Mountain Incorporated,32.05,41.53
258,JBHT,J. B. Hunt Transport Services,83.35,126.49
259,JEC,Jacobs Engineering Group,49.31,72.18
260,SJM,JM Smucker,99.565,143.68
261,JNJ,Johnson & Johnson,113.15,148.32
262,JCI,Johnson Controls International,34.51,44.37
263,JPM,JPMorgan Chase & Co.,81.635,117.3529
264,JNPR,Juniper Networks,23.87,30.96
265,KSU,Kansas City Southern,81.54,114.85
266,K,Kellogg Co.,58.76,76.69
267,KEY,KeyCorp,16.28,22.22
268,KMB,Kimberly-Clark,109.67,136.21
269,KIM,Kimco Realty,14.33,25.15
270,KMI,Kinder Morgan,16.56,22.75
271,KLAC,KLA-Tencor Corp.,86.33,121.65
272,KSS,Kohl's Corp.,35.16,69.14
273,KHC,Kraft Heinz Co,72.05,97.77
274,KR,Kroger Co.,19.69,34.75
275,LB,L Brands Inc.,35.0,63.1
276,LLL,L-3 Communications Holdings,159.43,218.705
277,LH,Laboratory Corp. of America Holding,130.292,181.715
278,LRCX,Lam Research,113.1982,219.7
279,LEG,Leggett & Platt,42.0,54.97
280,LEN,Lennar Corp.,43.647053,72.17
281,LUK,Leucadia National Corp.,22.23,28.3
282,LLY,Lilly (Eli) & Co.,75.71,89.09
283,LNC,Lincoln National,61.45,86.68
284,LKQ,LKQ Corporation,27.85,43.8599
285,LMT,Lockheed Martin Corp.,256.4,361.79
286,L,Loews Corp.,45.01,53.59
287,LOW,Lowe's Cos.,70.76,108.98
288,LYB,LyondellBasell,78.01,121.95
289,MTB,M&T Bank Corp.,141.12,193.85
290,MAC,Macerich,52.12,69.73
291,M,Macy's Inc.,17.405,33.73
292,MRO,Marathon Oil Corp.,10.55,19.52
293,MPC,Marathon Petroleum,47.39,73.53
294,MAR,Marriott Int'l.,85.3725,149.21
295,MMC,Marsh & McLennan,69.33,86.54
296,MLM,Martin Marietta Materials,191.09,244.32
297,MAS,Masco Corp.,31.29,46.445
298,MA,Mastercard Inc.,105.8,177.11
299,MAT,Mattel Inc.,12.71,26.3
300,MKC,McCormick & Co.,90.25,109.67
301,MCD,McDonald's Corp.,124.36,178.7
302,MCK,McKesson Corp.,133.82,178.86
303,MDT,Medtronic plc,75.44,89.72
304,MRK,Merck & Co.,53.63,66.8
305,MET,MetLife Inc.,44.58,56.58
306,MTD,Mettler Toledo,459.34,697.26
307,MGM,MGM Resorts International,25.15,38.41
308,KORS,Michael Kors Holdings,32.38,69.95
309,MCHP,Microchip Technology,69.76,99.17
310,MU,Micron Technology,22.64,49.89
311,MSFT,Microsoft Corp.,63.22,96.07
312,MAA,Mid-America Apartments,86.95,110.95
313,MHK,Mohawk Industries,209.9,286.85
314,TAP,Molson Coors Brewing Company,75.79,102.14
315,MDLZ,Mondelez International,39.19,47.23
316,MON,Monsanto Co.,106.97,123.15
317,MNST,Monster Beverage,41.02,70.215
318,MCO,Moody's Corp,106.48,167.23
319,MS,Morgan Stanley,40.06,58.05
320,MSI,Motorola Solutions Inc.,77.23,107.78
321,MYL,Mylan N.V.,29.39,47.82
322,NDAQ,"Nasdaq, Inc.",65.98,83.29
323,NOV,National Oilwell Varco Inc.,29.9,41.895
324,NAVI,Navient,11.481,16.97
325,NTAP,NetApp,37.43,64.0599
326,NFLX,Netflix Inc.,138.26,286.81
327,NWL,Newell Brands,23.85,55.08
328,NFX,Newfield Exploration Co,24.41,43.74
329,NEM,Newmont Mining Corporation,31.42,42.04
330,NWSA,News Corp. Class A,12.0,17.29
331,NWS,News Corp. Class B,12.35,17.7
332,NEE,NextEra Energy,124.18,159.64
333,NLSN,Nielsen Holdings,34.22,45.73
334,NKE,Nike,50.35,68.83
335,NI,NiSource Inc.,21.93,27.76
336,NBL,Noble Energy Inc,22.985,39.6
337,JWN,Nordstrom,37.7924,53.0
338,NSC,Norfolk Southern Corp.,109.27,157.1499
339,NTRS,Northern Trust Corp.,83.17,108.91
340,NOC,Northrop Grumman Corp.,231.98,349.18
341,NCLH,Norwegian Cruise Line,46.96,61.48
342,NRG,NRG Energy,14.52,29.78
343,NUE,Nucor Corp.,51.67,70.48
344,NVDA,Nvidia Corporation,95.17,249.27
345,ORLY,O'Reilly Automotive,169.43,279.23
346,OXY,Occidental Petroleum,57.2,78.09
347,OMC,Omnicom Group,65.32,86.71
348,OKE,ONEOK,47.14,61.36
349,ORCL,Oracle Corp.,40.01,53.14
350,PCAR,PACCAR Inc.,61.93,79.69
351,PKG,Packaging Corporation of America,88.47,131.1316
352,PH,Parker-Hannifin,145.38,212.8
353,PDCO,Patterson Companies,32.07,48.295
354,PAYX,Paychex Inc.,54.2,73.1
355,PYPL,PayPal,39.92,86.32
356,PNR,Pentair Ltd.,57.63,74.84
357,PBCT,People's United Financial,15.965,20.14
358,PEP,PepsiCo Inc.,104.77,122.51
359,PKI,PerkinElmer,52.63,84.49
360,PRGO,Perrigo,63.68,95.93
361,PFE,Pfizer Inc.,31.67,39.43
362,PCG,PG&E Corp.,38.45,71.57
363,PM,Philip Morris International,96.66,123.55
364,PSX,Phillips 66,75.135,107.47
365,PNW,Pinnacle West Capital,73.81,92.48
366,PXD,Pioneer Natural Resources,125.46,199.83
367,PNC,PNC Financial Services,115.25,160.07
368,RL,Polo Ralph Lauren Corp.,66.06,119.33
369,PPG,PPG Industries,99.57,122.0697
370,PPL,PPL Corp.,29.205,40.2
371,PX,Praxair Inc.,115.53,166.95
372,PCLN,Priceline.com Inc,1589.0,2067.99
373,PFG,Principal Financial Group,58.9401,75.585
